sweep,di,dj,dk,r_mm,n_rv,n_lv,tau_rv,tau_lv,d_rv_lv,tau_rv_err,tau_lv_err,chi_rv,chi_lv,tail_rv,tail_lv,tail_d
grid3,-3,-1,2,6.123834127236074,2367071,1912461,1.6816022734084668,1.5525534995138877,0.12904877389457914,0.17389917343423456,0.15372118652838715,2.7327856850693024,2.2423659428464036,2.097764021046218,1.6766729904027355,0.4210910306434823
grid3,-3,-1,3,7.143792229339239,2336064,1898685,1.6592759837306916,1.5714751886736604,0.0878007950570312,0.17169781703230902,0.1603971639240536,2.857157480381469,2.167503342267079,2.372005156856458,1.7759840142588375,0.5960211425976207
grid3,-3,0,-3,6.953671107405366,2418654,1921200,1.622317922554646,1.4450522466959415,0.17726567585870456,0.1654179423716234,0.1372171416205567,2.7190472628993048,2.3361557239090143,1.8322498274203058,1.6654081536116734,0.16684167380863246
grid3,-3,0,-2,5.900942202046864,2405821,1927703,1.6156939614318042,1.399553937552305,0.21614002387949927,0.16207965122199267,0.1293703273769184,2.791792791256167,2.387252967090512,2.011430547563737,1.6359246233610716,0.37550592420266526
grid3,-3,0,-1,5.167365389931102,2387883,1930218,1.5781574329646137,1.4315640714696367,0.14659336149497704,0.15839919270506794,0.13083890679538235,2.8135504112065206,2.3507949637291317,2.009999073706658,1.665521123188902,0.3444779505177562
grid3,-3,0,0,4.89848757,2367212,1928732,1.593591118165901,1.4439086174375353,0.14968250072836575,0.16285478613401597,0.13437768411535506,2.905217088272074,2.3695719132905704,1.7949997359755503,1.7160146150123525,0.07898512096319776
grid3,-3,0,1,5.167365389931102,2342839,1923316,1.639830779127227,1.534450793279952,0.10537998584727504,0.16528543528034426,0.1474024040421837,2.8098070919748177,2.3190677620026836,1.9778332276267951,1.9857509746257,-0.007917746998904907
grid3,-3,0,2,5.900942202046864,2315179,1914935,1.6588138333044737,1.622107350193464,0.03670648311100977,0.17696355225679092,0.15791589354641317,2.7166642512706707,2.292198451799754,1.8725646727697676,1.8383631657347292,0.034201507035038325
grid3,-3,0,3,6.953671107405366,2284977,1902727,1.686421322419344,1.565768314888923,0.12065300753042107,0.17745578988367788,0.15085010958839695,2.7385558609161134,2.209101844228934,1.977145213103994,1.8308419639474327,0.14630324915656123
grid3,-3,1,-3,7.143792229339239,2356731,1917488,1.5922899549065719,1.3954593876313925,0.19683056727517934,0.16326523945427668,0.12976409756014548,2.804406879655759,2.340312724925779,1.9985749466488238,1.7238074466620796,0.2747674999867442
grid3,-3,1,-2,6.123834127236074,2342771,1923906,1.5826589958045685,1.434268952329311,0.14839004347525742,0.1619031616459093,0.1339642053645045,2.8127473526353235,2.4263667328409153,2.0080010029314397,1.6918926183290288,0.31610838460241086
grid3,-3,1,-1,5.420506491008134,2326375,1927477,1.6208723613328917,1.450956378759051,0.16991598257384077,0.1667481031901588,0.13002845038621008,2.8709154655685705,2.4007973168272243,1.8057811096470984,1.7828760423699042,0.022905067277194213
grid3,-3,1,0,5.164823909819968,2305861,1926943,1.603761232427149,1.444116829409112,0.15964440301803706,0.16675649628432834,0.12960157207082385,2.8358648639719926,2.425642856166437,1.9869857608864119,1.9997433685214658,-0.012757607635053958
grid3,-3,1,1,5.420506491008134,2282022,1922849,1.5720680384959669,1.4661513879596362,0.1059166505363307,0.1619382309700254,0.1335385970784935,2.817558795913363,2.397987696154731,1.8305688039258041,2.014549001525386,-0.18398019759958206
grid3,-3,1,2,6.123834127236074,2254908,1914807,1.5963711340964,1.5431380894692808,0.0532330446271192,0.16817628385921812,0.14612162000807316,2.8490338377307487,2.3444048878049544,1.8747702012547856,1.978164953739586,-0.10339475248480046
grid3,-3,1,3,7.143792229339239,2225169,1903853,1.6331122525867416,1.5696565115993393,0.06345574098740236,0.17400930718010243,0.1501074715900079,2.7677874385828187,2.245702998636508,1.8774633443028974,1.6515625240814087,0.22590082022148872
